Timestep  Iteration  resNorm(0)  
1  1  1.0000000000000000  
1  2  0.0000614384150401  
1  3  0.0050992184725364  
1  4  0.0000109588382649  
1  5  0.0000009328308434  
2  1  0.0066467044412097  
2  2  0.0074261540101734  
2  3  0.0000005579960580  
3  1  0.0053861307002888  
3  2  0.0054219701825615  
3  3  0.0000004473355745  
4  1  0.0006889645389149  
4  2  0.0005029707334858  
4  3  0.0000002289392676  
5  1  0.0002830352376200  
5  2  0.0000626621906112  
5  3  0.0000003099795897  
6  1  0.0002411523321072  
6  2  0.0000138829711527  
6  3  0.0000002308180962  
7  1  0.0002288385111191  
7  2  0.0000044858766105  
7  3  0.0000003399941734  
8  1  0.0002202773632987  
8  2  0.0000013866661430  
8  3  0.0000000078122494  
9  1  0.0002108861746388  
9  2  0.0000003235204242  
10  1  0.0002014701761498  
10  2  0.0000001318277305  
11  1  0.0001925043164708  
11  2  0.0000002768066518  
12  1  0.0001833954255292  
12  2  0.0000003027171518  
13  1  0.0001744832121213  
13  2  0.0000002915762668  
14  1  0.0001661341098829  
14  2  0.0000002321074140  
15  1  0.0001585644922047  
15  2  0.0000001948035847  
16  1  0.0001518488400364  
16  2  0.0000001869538122  
17  1  0.0001459905442984  
17  2  0.0000001840893192  
18  1  0.0001408755787453  
18  2  0.0000001762356867  
19  1  0.0001363535831525  
19  2  0.0000001621817448  
20  1  0.0001322532802217  
20  2  0.0000001432427173  
21  1  0.0001284040700968  
21  2  0.0000001335352746  
22  1  0.0001246780933836  
22  2  0.0000001336614476  
23  1  0.0001210040889448  
23  2  0.0000001364461556  
24  1  0.0001173650572023  
24  2  0.0000001356421320  
25  1  0.0001137913049664  
25  2  0.0000001283473387  
26  1  0.0001103891440824  
26  2  0.0000001104017024  
27  1  0.0001070270684327  
27  2  0.0000001182858354  
28  1  0.0001039896379810  
28  2  0.0000000860903640  
29  1  0.0001011343442253  
29  2  0.0000000847036185  
30  1  0.0000985473181670  
30  2  0.0000000820032881  
31  1  0.0000961702494818  
31  2  0.0000000784546161  
32  1  0.0000939610258259  
32  2  0.0000000751558319  
33  1  0.0000918781184642  
33  2  0.0000000715241814  
34  1  0.0000898783344066  
34  2  0.0000000698943230  
35  1  0.0000879349252574  
35  2  0.0000000690108916  
36  1  0.0000860301299741  
36  2  0.0000000680838689  
37  1  0.0000841623949763  
37  2  0.0000000662647406  
38  1  0.0000823381233678  
38  2  0.0000000635447103  
39  1  0.0000805711032624  
39  2  0.0000000596494149  
40  1  0.0000788718287910  
40  2  0.0000000559578390  
41  1  0.0000772516243822  
41  2  0.0000000526250194  
42  1  0.0000757122175610  
42  2  0.0000000502864964  
43  1  0.0000742532859136  
43  2  0.0000000480521581  
44  1  0.0000728651876142  
44  2  0.0000000465103807  
45  1  0.0000715392467830  
45  2  0.0000000452264486  
46  1  0.0000702631587472  
46  2  0.0000000439143881  
47  1  0.0000690277428240  
47  2  0.0000000429391199  
48  1  0.0000678246876986  
48  2  0.0000000421134375  
49  1  0.0000666508412540  
49  2  0.0000000412551334  
50  1  0.0000655045232725  
50  2  0.0000000401543429  
51  1  0.0000643875801031  
51  2  0.0000000386611152  
52  1  0.0000633013832842  
52  2  0.0000000373088993  
53  1  0.0000622492695961  
53  2  0.0000000358648080  
54  1  0.0000612321393218  
54  2  0.0000000345987705  
55  1  0.0000602506148877  
55  2  0.0000000332929421  
56  1  0.0000593028875621  
56  2  0.0000000323167655  
57  1  0.0000583871259686  
57  2  0.0000000314553068  
58  1  0.0000575001010373  
58  2  0.0000000305787742  
59  1  0.0000566385158810  
59  2  0.0000000299784291  
60  1  0.0000557999335665  
60  2  0.0000000292660382  
61  1  0.0000549817765587  
61  2  0.0000000293937375  
62  1  0.0000541788071023  
62  2  0.0000000310679592  
63  1  0.0000534050478319  
63  2  0.0000000276366376  
64  1  0.0000526408577576  
64  2  0.0000000265328324  
65  1  0.0000518986678162  
65  2  0.0000000258913904  
66  1  0.0000511750964745  
66  2  0.0000000251731650  
67  1  0.0000504703800787  
67  2  0.0000000244551281  
68  1  0.0000497843458812  
68  2  0.0000000237943463  
69  1  0.0000491160935537  
69  2  0.0000000232133573  
70  1  0.0000484649863425  
70  2  0.0000000227097402  
71  1  0.0000478298873279  
71  2  0.0000000222143173  
72  1  0.0000472099232675  
72  2  0.0000000216967278  
73  1  0.0000466040498505  
73  2  0.0000000212381043  
74  1  0.0000460115724951  
74  2  0.0000000208122713  
75  1  0.0000454319147180  
75  2  0.0000000203623320  
76  1  0.0000448646982312  
76  2  0.0000000199161429  
77  1  0.0000443095594353  
77  2  0.0000000195174124  
78  1  0.0000437664818336  
78  2  0.0000000190587378  
79  1  0.0000432351143051  
79  2  0.0000000186459154  
80  1  0.0000427153188017  
80  2  0.0000000182390894  
81  1  0.0000422068137877  
81  2  0.0000000178455106  
82  1  0.0000417091775977  
82  2  0.0000000174900988  
83  1  0.0000412220865709  
83  2  0.0000000171383138  
84  1  0.0000407450637908  
84  2  0.0000000168008143  
85  1  0.0000402777281472  
85  2  0.0000000164713257  
86  1  0.0000398196418020  
86  2  0.0000000161647060  
87  1  0.0000393705147973  
87  2  0.0000000158622623  
88  1  0.0000389300489444  
88  2  0.0000000155629404  
89  1  0.0000384979877436  
89  2  0.0000000152709330  
90  1  0.0000380741559465  
90  2  0.0000000149791982  
91  1  0.0000376583383959  
91  2  0.0000000146997208  
92  1  0.0000372503741347  
92  2  0.0000000144249360  
93  1  0.0000368500541254  
93  2  0.0000000141608125  
94  1  0.0000364572163231  
94  2  0.0000000138996318  
95  1  0.0000360716095653  
95  2  0.0000000136529754  
96  1  0.0000356930690131  
96  2  0.0000000134060331  
97  1  0.0000353213240426  
97  2  0.0000000131797565  
98  1  0.0000349562211405  
98  2  0.0000000129503898  
99  1  0.0000345975241601  
99  2  0.0000000127304642  
100  1  0.0000342450636410  
100  2  0.0000000125144620  
101  1  0.0000338986719107  
101  2  0.0000000123047223  
102  1  0.0000335581941288  
102  2  0.0000000120999291  
103  1  0.0000332234905102  
103  2  0.0000000118976449  
104  1  0.0000328944186875  
104  2  0.0000000117018003  
105  1  0.0000325708499070  
105  2  0.0000000115098682  
106  1  0.0000322526582069  
106  2  0.0000000113214942  
107  1  0.0000319396939124  
107  2  0.0000000111437610  
108  1  0.0000316318533312  
108  2  0.0000000109629703  
109  1  0.0000313289761026  
109  2  0.0000000107925381  
110  1  0.0000310309443814  
110  2  0.0000000106264227  
111  1  0.0000307376457756  
111  2  0.0000000104608199  
112  1  0.0000304489762120  
112  2  0.0000000102982787  
113  1  0.0000301648337487  
113  2  0.0000000101378639  
114  1  0.0000298851004883  
114  2  0.0000000099873281  
115  1  0.0000296096959865  
115  2  0.0000000098352127  
116  1  0.0000293384996399  
116  2  0.0000000096885613  
117  1  0.0000290714293370  
117  2  0.0000000095441033  
118  1  0.0000288083844396  
118  2  0.0000000094045614  
119  1  0.0000285492818850  
119  2  0.0000000092667084  
120  1  0.0000282940280390  
120  2  0.0000000091323376  
121  1  0.0000280425372968  
121  2  0.0000000090019467  
122  1  0.0000277947288267  
122  2  0.0000000088733642  
123  1  0.0000275505076857  
123  2  0.0000000087489800  
124  1  0.0000273098044632  
124  2  0.0000000086262625  
125  1  0.0000270725358093  
125  2  0.0000000085062051  
126  1  0.0000268386352648  
126  2  0.0000000083882500  
127  1  0.0000266080235179  
127  2  0.0000000082745120  
128  1  0.0000263806415787  
128  2  0.0000000081607045  
129  1  0.0000261564121470  
129  2  0.0000000080520519  
130  1  0.0000259352768464  
130  2  0.0000000079438603  
131  1  0.0000257171682700  
131  2  0.0000000078379101  
132  1  0.0000255019824486  
132  2  0.0000000077380523  
133  1  0.0000252897385857  
133  2  0.0000000076294567  
134  1  0.0000250802979762  
134  2  0.0000000075383376  
135  1  0.0000248736686428  
135  2  0.0000000074355773  
136  1  0.0000246697776229  
136  2  0.0000000073401958  
137  1  0.0000244685680163  
137  2  0.0000000072486342  
138  1  0.0000242700002934  
138  2  0.0000000071538220  
139  1  0.0000240740145502  
139  2  0.0000000070639950  
140  1  0.0000238805621161  
140  2  0.0000000069761634  
141  1  0.0000236896008653  
141  2  0.0000000068884676  
142  1  0.0000235010760501  
142  2  0.0000000068018803  
143  1  0.0000233149412133  
143  2  0.0000000067193810  
144  1  0.0000231311533537  
144  2  0.0000000066374386  
145  1  0.0000229496657281  
145  2  0.0000000065563004  
146  1  0.0000227704349392  
146  2  0.0000000064775319  
147  1  0.0000225934203519  
147  2  0.0000000064001658  
148  1  0.0000224185808307  
148  2  0.0000000063239012  
